"任务节点编号","网格中心X坐标_m","网格中心Y坐标_m"
"1","500","100"
"2","1500","300"
"3","2700","300"
"4","3700","300"
"5","9500","300"
"6","100","500"
"7","8500","500"
"8","9300","700"
"9","1900","900"
"10","8500","900"
"11","9900","900"
"12","3500","1100"
"13","4300","1100"
"14","8100","1100"
"15","8300","1100"
"16","7300","1300"
"17","7500","1500"
"18","8100","1500"
"19","3300","1700"
"20","700","1900"
"21","3700","2300"
"22","4700","2300"
"23","3500","2500"
"24","4700","2500"
"25","4100","2900"
"26","5300","2900"
"27","8300","2900"
"28","4500","3100"
"29","7900","3100"
"30","6300","3700"
"31","7900","3900"
"32","6300","4100"
"33","6900","4100"
"34","8100","4100"
"35","5900","4300"
"36","6900","4300"
"37","9100","4300"
"38","6500","4500"
"39","7700","4700"
"40","5700","4900"
"41","5500","5100"
"42","6300","5100"
"43","4700","5500"
"44","4900","5500"
"45","4700","5700"
"46","7500","5700"
"47","7700","5700"
"48","4700","5900"
"49","4900","6100"
"50","7300","6300"
"51","3300","6500"
"52","4700","6700"
"53","5500","6700"
"54","6700","6700"
"55","8100","6700"
"56","9500","6700"
"57","9700","6700"
"58","5300","6900"
"59","6900","6900"
"60","4500","7300"
"61","7500","7300"
"62","4300","7500"
"63","6100","7500"
"64","4300","7700"
"65","6700","7700"
"66","8100","7700"
"67","3300","7900"
"68","4900","7900"
"69","4700","8100"
"70","5300","8100"
"71","8900","8100"
"72","6300","8300"
"73","5100","8500"
"74","2500","8700"
"75","7500","8700"
"76","4100","8900"
"77","7900","8900"
"78","2300","9100"
"79","3500","9100"
"80","3700","9100"
"81","4900","9100"
"82","6300","9300"
"83","6500","9300"
"84","9900","9300"
"85","700","9500"
"86","2700","9500"
"87","6300","9500"
"88","2500","9700"
"89","3100","9700"
"90","3300","9900"
"91","5500","9900"
"92","5900","9900"
"93","9300","9900"
"94","9500","9900"
